#rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.877890e+00	4.142510e+00	3.522705e+00	6.323708e-01	-5.906084e-01	8.832828e-02	-4.934441e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.377285e+00	5.001850e+00	4.171588e+00	7.341603e-01	-6.086006e-02	-6.726397e-01	-6.971799e-02
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.250191e+00	4.735253e+00	2.587726e+00	-9.598188e-02	-2.031012e-01	-4.444111e-01	8.672002e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.670792e+00	3.972555e+00	2.198419e+00	-5.115011e-01	2.342671e-01	-5.415287e-01	-6.246857e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	5.074242e+00	5.021522e+00	4.202328e+00	6.491880e-01	9.892429e-02	7.734592e-02	7.501910e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	5.103921e+00	4.710880e+00	2.943359e+00	8.503150e-01	-4.889895e-01	-5.200771e-02	-1.874803e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.049207e+00	4.338822e+00	4.565332e+00	4.710130e-01	6.442189e-01	4.037916e-01	4.473043e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.851997e+00	3.069901e+00	4.509201e+00	-7.007771e-01	-2.043030e-01	5.278639e-01	-4.342022e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.215953e+00	2.237647e+00	1.272634e+00	-8.745028e-01	3.451421e-01	1.714283e-01	2.945067e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.079312e+00	2.024401e+00	1.478626e+00	-6.579222e-01	1.658553e-01	-1.304488e-01	-7.229202e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.210230e+00	4.334680e+00	1.866181e+00	-7.336050e-01	-5.794321e-01	2.271505e-01	-2.729190e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.259710e+00	4.797184e+00	4.378155e+00	-1.675046e-02	3.246789e-01	8.492088e-01	-4.161099e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.089902e+00	4.112217e+00	2.901819e+00	-3.487375e-01	8.258526e-01	1.158454e-01	4.277026e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.733061e+00	2.557812e+00	4.284653e+00	-4.974832e-01	2.721932e-01	-1.207180e-01	-8.147690e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.842459e+00	2.337020e+00	1.954241e+00	2.263765e-01	-1.476988e-02	4.309260e-01	8.734062e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.129762e+00	1.907516e+00	4.504266e+00	-8.066939e-01	2.271838e-01	-5.119349e-01	1.885607e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.365011e+00	2.330825e+00	1.047053e+00	-2.737714e-01	4.860891e-01	4.760203e-01	6.798318e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.244474e+00	3.554212e+00	4.337000e+00	1.371821e-01	6.292603e-01	6.845132e-01	-3.415468e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.927834e+00	3.388199e+00	1.338404e+00	-1.190306e-01	-8.059850e-01	5.116665e-01	2.727955e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.361851e+00	4.033977e+00	1.118525e+00	1.306835e-01	7.983346e-01	-2.205027e-01	5.449424e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.375081e+00	4.763883e+00	3.459343e+00	6.172255e-01	-1.253596e-01	-5.733080e-01	-5.240569e-01
