#rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3
3.920000e-04	3.920000e-04	3.920000e-04	1.000000e+00	1.000000e+00	9.055631e-03	8.691644e-03	9.186732e-03	-2.826837e-01	-4.104605e-01	-7.271448e-01	-4.720937e-01
3.920000e-04	3.920000e-04	3.920000e-04	1.000000e+00	1.000000e+00	7.626259e-03	9.244917e-03	9.060326e-03	5.115841e-01	4.719653e-01	-4.863403e-01	5.282079e-01
3.920000e-04	3.920000e-04	3.920000e-04	1.000000e+00	1.000000e+00	7.553872e-03	9.273511e-03	9.840377e-03	-1.563937e-01	8.417010e-02	-9.840913e-01	4.543674e-03
3.920000e-04	3.920000e-04	3.920000e-04	1.000000e+00	1.000000e+00	1.006589e-02	8.862848e-03	8.278578e-03	1.000214e-02	3.934050e-01	1.906793e-01	-8.993186e-01
3.920000e-04	3.920000e-04	3.920000e-04	1.000000e+00	1.000000e+00	9.312504e-03	1.057344e-02	9.085849e-03	-8.028586e-01	2.768200e-01	4.977783e-01	-1.760837e-01
3.980000e-04	3.980000e-04	3.980000e-04	1.000000e+00	1.000000e+00	1.005967e-02	8.368301e-03	9.885127e-03	2.616766e-01	8.927365e-01	-2.646873e-01	2.539438e-01
3.980000e-04	3.980000e-04	3.980000e-04	1.000000e+00	1.000000e+00	7.933059e-03	8.587699e-03	9.940157e-03	-7.819623e-01	-6.003829e-01	-1.391713e-01	9.330974e-02
3.980000e-04	3.980000e-04	3.980000e-04	1.000000e+00	1.000000e+00	8.534185e-03	1.056745e-02	8.951194e-03	3.855941e-01	-8.893411e-01	-4.193095e-02	2.421392e-01
3.980000e-04	3.980000e-04	3.980000e-04	1.000000e+00	1.000000e+00	7.568151e-03	1.012972e-02	1.002542e-02	-5.093992e-02	-6.630290e-01	-7.302932e-01	-1.564275e-01
3.625000e-04	3.625000e-04	3.625000e-04	1.000000e+00	1.000000e+00	9.508653e-03	1.005127e-02	1.024798e-02	3.017346e-01	-2.238393e-01	-8.571456e-01	3.523544e-01
3.625000e-04	3.625000e-04	3.625000e-04	1.000000e+00	1.000000e+00	9.458465e-03	9.793342e-03	9.572631e-03	-2.406683e-02	9.692292e-01	-2.035359e-01	-1.363402e-01
3.625000e-04	3.625000e-04	3.625000e-04	1.000000e+00	1.000000e+00	8.783160e-03	9.382832e-03	9.317857e-03	5.174596e-01	-4.128352e-01	-7.495222e-01	4.367411e-03
3.625000e-04	3.625000e-04	3.625000e-04	1.000000e+00	1.000000e+00	8.904544e-03	7.962580e-03	9.308078e-03	5.933189e-01	-3.021034e-01	3.388899e-01	-6.647254e-01
3.625000e-04	3.625000e-04	3.625000e-04	1.000000e+00	1.000000e+00	8.969345e-03	9.902723e-03	8.844492e-03	8.874122e-02	-5.384481e-01	-5.900150e-02	8.358932e-01
3.625000e-04	3.625000e-04	3.625000e-04	1.000000e+00	1.000000e+00	8.456876e-03	8.548683e-03	1.048946e-02	8.028409e-01	4.308993e-01	-4.083498e-01	5.497927e-02
3.625000e-04	3.625000e-04	3.625000e-04	1.000000e+00	1.000000e+00	9.494747e-03	7.412170e-03	1.020133e-02	1.532446e-01	2.220339e-01	9.618559e-01	-4.528010e-02
3.625000e-04	3.625000e-04	3.625000e-04	1.000000e+00	1.000000e+00	9.467722e-03	9.365222e-03	8.987689e-03	3.767191e-01	3.519966e-01	8.282691e-01	-2.194344e-01
3.625000e-04	3.625000e-04	3.625000e-04	1.000000e+00	1.000000e+00	8.315393e-03	9.240976e-03	9.872293e-03	-4.177949e-01	2.959014e-01	-6.142046e-01	6.005352e-01
3.625000e-04	3.625000e-04	3.625000e-04	1.000000e+00	1.000000e+00	8.522106e-03	9.921326e-03	8.262057e-03	-3.881044e-01	7.598119e-01	3.463833e-01	-3.899738e-01
3.625000e-04	3.625000e-04	3.625000e-04	1.000000e+00	1.000000e+00	7.610405e-03	7.412124e-03	9.929075e-03	-7.950618e-01	4.006006e-01	-3.958079e-03	-4.553901e-01
4.065000e-04	4.065000e-04	4.065000e-04	1.000000e+00	1.000000e+00	1.005113e-02	1.055899e-02	1.044522e-02	1.672633e-01	-7.073414e-02	9.413876e-01	-2.842693e-01
4.065000e-04	4.065000e-04	4.065000e-04	1.000000e+00	1.000000e+00	8.267100e-03	8.804338e-03	9.241421e-03	4.266621e-01	-1.405273e-01	-2.418340e-01	8.600744e-01
4.065000e-04	4.065000e-04	4.065000e-04	1.000000e+00	1.000000e+00	7.707464e-03	9.451364e-03	8.293325e-03	-7.501194e-01	-1.064513e-01	-6.205832e-01	-2.021521e-01
3.550000e-04	3.550000e-04	3.550000e-04	1.000000e+00	1.000000e+00	9.439342e-03	9.249534e-03	1.049670e-02	-7.256064e-01	6.506066e-02	-3.536885e-01	-5.866574e-01
3.550000e-04	3.550000e-04	3.550000e-04	1.000000e+00	1.000000e+00	9.786769e-03	7.404630e-03	9.007073e-03	-8.649585e-01	-1.186469e-01	3.363988e-01	3.529951e-01
3.550000e-04	3.550000e-04	3.550000e-04	1.000000e+00	1.000000e+00	8.982020e-03	9.471667e-03	1.000140e-02	6.175257e-01	-7.611338e-02	1.311270e-01	-7.717995e-01
3.550000e-04	3.550000e-04	3.550000e-04	1.000000e+00	1.000000e+00	7.516756e-03	7.916055e-03	8.713562e-03	7.304881e-02	9.772883e-01	-2.267330e-02	1.976293e-01
3.550000e-04	3.550000e-04	3.550000e-04	1.000000e+00	1.000000e+00	9.491714e-03	7.618642e-03	8.241718e-03	4.371176e-01	7.824818e-01	5.358255e-02	-4.402037e-01
3.550000e-04	3.550000e-04	3.550000e-04	1.000000e+00	1.000000e+00	8.589901e-03	7.404579e-03	8.241694e-03	-2.216778e-01	1.560114e-02	6.625106e-01	-7.153288e-01
